,ENSG00000006534,ENSG00000067057,ENSG00000067225,ENSG00000072210,ENSG00000074800,ENSG00000079739,ENSG00000091140,ENSG00000100889,ENSG00000102144,ENSG00000105220,ENSG00000105679,ENSG00000106633,ENSG00000107789,ENSG00000108515,ENSG00000108602,ENSG00000109107,ENSG00000111275,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000111716,ENSG00000117448,ENSG00000124253,ENSG00000130957,ENSG00000131069,ENSG00000131482,ENSG00000131828,ENSG00000132746,ENSG00000134333,ENSG00000136872,ENSG00000137124,ENSG00000141349,ENSG00000141959,ENSG00000143149,ENSG00000143627,ENSG00000143891,ENSG00000149925,ENSG00000150768,ENSG00000152254,ENSG00000152556,ENSG00000154930,ENSG00000156510,ENSG00000156515,ENSG00000159322,ENSG00000159399,ENSG00000160883,ENSG00000163114,ENSG00000164708,ENSG00000164904,ENSG00000165140,ENSG00000166796,ENSG00000166800,ENSG00000168291,ENSG00000169299,ENSG00000170950,ENSG00000171314,ENSG00000171989,ENSG00000172331,ENSG00000172955,ENSG00000187758,ENSG00000188316,ENSG00000196344,ENSG00000196616,ENSG00000197894,ENSG00000198099,ENSG00000226784,ENSG00000248144
TCGA-J2-8192-01A,4.351763874930014,0.4445622007183805,4.96622081777522,1.846250300355711,6.807180925760964,0.5343664842383826,0.6042019523493991,0.5199018489326783,1.9357621896559567,2.1119379142959818,-5.310472649769594,-5.201443200248505,-1.1248410567403644,-1.6276393607352129,0.5643408019363432,2.466194721585126,2.36196697804411,8.273149766360392,6.4968523609027,2.7592007014670723,0.7118785686553539,2.707459151140586,-4.786684514139546,-5.275981390316732,-0.5712754885105844,-5.361983067039123,1.3129453072065487,-0.5705386910620018,5.711575177284979,-3.3591171385189895,2.8299704486301924,2.8885167732217973,2.6905521521493783,1.2485728831737783,-5.361983067039123,-1.1018880239309916,6.9950435524968295,0.06321177716061133,-5.101270410824031,-0.2765965590714199,-0.7113777561167192,-0.7159694622296797,0.37688607081276526,0.6378322699784023,0.8892234529073151,-0.06037409458388021,-5.361983067039123,-5.361983067039123,-0.3175949534221565,1.1907911224998435,-4.452108956257293,-5.189546048478502,2.6916240292866216,-0.2775435186067452,-4.5170740291088585,1.8850363287353047,-4.050012898944034,0.0045786930231077605,-4.051577331428894,-4.863665395724314,-5.089720242291782,-4.146227782806562,-1.3711505866520035,2.654308254914096,-5.223078206215776,-2.335328241316007,-0.0045786930231077605
TCGA-75-5122-01A,4.769104358409252,0.9164829759306015,5.130493129157168,0.7755763516340646,6.501211283639256,0.02032170706106662,0.6460938213331575,1.8525888574382932,1.7867969396944958,2.896835748408703,-4.700116413587708,-4.832710144042733,-0.9111939237950006,-1.0993334786050253,-2.752180772190825,0.7492957297061134,1.3182249376720931,8.816777487874903,6.795624714964644,1.3213974746195212,2.933971169334631,3.489868398227458,-4.871460621417215,-4.841039711027133,-0.6348156967424772,-4.871460621417215,1.733130805390919,-4.613003036811373,4.90442711629321,-4.730272318226259,1.7946456009798566,3.6135483079592885,2.6466132514361047,1.1557528407936144,-4.871460621417215,0.01686477421725563,6.721835824768622,0.6113397035205197,-4.752574711882035,-0.21395440151858836,-0.5089688639187768,-1.6863302533829683,-0.01686477421725563,1.7970024646126723,0.8299675942868467,2.1130084749752727,-4.871460621417215,-4.871460621417215,-0.37965295975885516,1.8955209064796192,-4.871460621417215,-4.826770178587761,2.921683687910711,0.1758010681643869,-4.871460621417215,2.5728966190121416,-3.4306310531050257,-0.4922924250500249,-4.691566167108403,-4.799535302532173,-4.803768857432219,-4.871460621417215,-3.4861307039485263,2.9907786619453023,-4.809573886429364,-2.8357166020748035,-3.9297864850254833
TCGA-91-A4BC-01A,2.081630976828486,0.8039598511726431,4.506836932915596,1.4019435802296163,5.407797215624548,-0.1837657058134179,0.4694413391622325,1.6663636206566916,0.39204534250471146,2.366380877607223,-3.670083440195663,-3.5143319183037667,-0.49006183163450046,1.447557525850683,-3.251849636729193,1.7823311502324313,1.5906199555150884,8.44638442920366,6.5279580277219935,3.0524432766608927,1.3343296245210687,2.671040965806492,-0.07356206943946142,-3.610736225823361,-0.4295307871023013,-3.670083440195663,1.9308103340863998,-1.881341370005376,5.4978250874451255,-3.530871782225039,3.076434730505622,3.220028116959865,2.612555085773505,0.6803435200153147,-3.5443857738423215,0.1336940088863594,6.8752405906560785,0.5366347643076772,-3.670083440195663,0.010774896219324592,0.4969019479461536,-1.7946065652876786,-0.010774896219324592,1.2723746572266312,-0.5788261310626508,0.5480973912935292,-3.670083440195663,-3.670083440195663,-0.6059429250321395,0.6276462711553219,-2.7873935881620824,-3.54179090823128,3.2617315133576854,-0.7300079391624974,-3.670083440195663,2.3034922064330337,-2.9620333894173396,-0.5934048984438056,-3.1923522522122827,-3.670083440195663,-3.5552729421792515,-3.6476110484570294,-3.256913008831514,2.369119686951672,-3.5942320532301713,-3.147624584671405,-2.9607368756562145
TCGA-49-6745-01A,5.836052821357559,2.0049812050245084,5.544453746552591,1.6288472231092967,6.6136526308042285,0.13257365237321572,1.1185147215151598,1.5615651788071698,1.5140518110236139,2.617991891237736,-5.471725465454876,-5.300735587891733,-0.6639974888323885,-2.916599718096457,-3.1660950347166477,0.01210476758990886,1.5283094912808455,8.7678823110712,6.852415385895561,1.5902522048649388,3.975669771506433,2.4430817416154778,-5.154958697202066,-5.40236906779344,-0.557825817081361,-5.471725465454876,1.3561392752609915,-1.6630005617491257,5.894591243975336,-5.199218459613415,4.041596313536395,2.9107950153842426,2.004987809386276,0.7682748584524779,-5.471725465454876,-0.1710475151593056,7.037868068217797,1.2052701310573992,-5.471725465454876,-0.01210476758990886,-1.3208562071493444,-0.8079830039649756,0.4298303951431053,0.7558909351355387,0.8286401243325985,0.0824856738350257,-5.471725465454876,-5.471725465454876,-0.6672279751195078,1.9336045102573545,-4.552038728224117,-5.32238206973237,2.792748001916852,0.12502968615336263,-4.856361538193687,2.881753905809817,-3.673957737827334,-0.07175208483679851,-4.384036179593048,-5.31062828767113,-5.1500359817515955,-4.7381300091379766,-0.4995880637857697,2.352100108384561,-5.33252703936841,-3.640278214147252,-1.3786969996229819
TCGA-44-2665-11A,6.109683597666437,-0.9170026992453284,4.163348477813897,2.0644184503212353,5.2097848067965575,0.6636244766789363,0.38588406343649373,1.4365253300632652,0.42369650976404927,2.2011378131480255,-5.299353099364332,-5.1696145648875635,-1.701483997926849,-2.7541668252686504,-2.039415249338983,1.201017477006502,3.2313231066182757,7.4108794022782725,5.914579974007193,1.14220778290347,0.9463345419485085,2.2637006910324864,-4.504882145603644,-5.261220668612305,0.3717627499171199,-5.299353099364332,1.0156996481327054,-3.0822435598628393,4.500921658541656,-4.793491564649493,1.2924705011904187,3.2695628817791587,2.3944085850228225,1.3633546698794579,-5.244562900068212,-1.8711800307696476,6.509986820683171,-0.5244588402150958,-5.299353099364332,-0.004099711752008517,0.004099711752008073,-1.7142617409274494,0.26283408097446204,0.7815379472970561,0.22822773965051857,1.615428266727701,-5.299353099364332,-5.299353099364332,-0.9806953839442611,2.732922849860495,-4.545721418466669,-5.163348183401773,2.6292650686448518,-0.9153781862651633,-5.299353099364332,1.7047335023200576,-3.9117583158450158,-1.111863984605053,-3.8680274826374,-4.670704915314783,-5.059181158596119,-4.87666084478304,1.9088241497410845,2.5733504988979004,-5.240944925680475,-4.423567238070202,-3.415483481773189
TCGA-64-1681-01A,5.7001096210174325,0.0433297502204244,5.09053489049656,2.584305586894753,7.2094102740931545,0.5314362157240393,0.8329653726203063,1.6919922409135024,1.5519694028033255,2.893406221035222,-4.735973307793263,-4.651717066156896,-1.4380423799813424,-1.8047572590592125,-0.44980537895257466,3.881695324092303,3.5731665017281635,8.256857183546607,6.668521039792204,2.768717961458541,0.9274509570623297,3.0473703333330135,-4.502046285468951,-4.575450425171659,1.1575271982888746,-4.692926871148236,1.9852526527077332,-1.4562100177181945,5.616276188796756,-4.28276272850357,2.12914932537506,3.3884486897693824,2.689311044264988,1.706710732787097,-4.59577906001819,0.3463321044748193,7.705678572143298,-0.2899040048909871,-4.735973307793263,-0.0433297502204244,-0.3236570747320515,-0.38627793855524484,0.056955095680580214,0.6093016027221996,-0.8311989627794629,-1.4783747125829796,-4.735973307793263,-4.735973307793263,0.21220969966271896,2.0608839053496695,-4.355850090240923,-4.711120497121941,3.3232205800739925,-1.3114129895091569,-4.735973307793263,1.8577166423289162,-3.7746902056737603,1.044107551630998,-2.113388363424553,-4.409335108518806,-4.036886133715719,-3.635726269740688,-0.294274469327223,2.9220608487719995,-4.7014665141861505,-4.735973307793263,-1.5323669061703018
TCGA-55-7911-01A,6.195179515729697,0.6630747146291296,5.561416236290896,1.858966514260235,6.943034867527334,-0.713402705105814,0.5561278684380611,1.2362081247999455,1.6796013538592245,2.9890414304192907,-4.505149105916216,-4.718014214638078,-0.1984780139870157,-0.7542261869169433,-3.780680847645807,0.8184502928278987,1.944346581705985,10.208051051820675,7.900398714065988,4.380359223742896,2.5706215656428997,2.273797438447853,-4.735909901271816,-4.707990756892651,0.13159771465030667,-4.533200109742207,1.670336926614131,-0.40892747335394564,6.361559898389864,-4.430593449781661,3.353850957362999,3.9820489087345354,2.4344091002690194,1.0508627294012665,-4.735909901271816,-0.6223756683757222,7.87420625855578,0.7764487980241785,-4.735909901271816,0.5470434221620493,0.09779333587057026,-1.2065399181548917,0.41321846187306255,1.673152079493459,-0.8344901036913372,-0.21841298204619042,-4.735909901271816,-4.735909901271816,0.5112547371925023,1.329709096115927,-4.711223134794812,-4.654981167226098,3.6886344679660166,-0.5630427963645563,-4.227862846010153,2.746298354966436,-2.12468134718734,-0.09779333587056982,-4.46932585748125,-4.669822366765658,-4.7044797066608,-4.735909901271816,-1.4818482233106447,2.7241502211074984,-4.679062149922086,-2.9548559841399857,-4.316133922372784
TCGA-69-7974-01A,5.854381982936823,1.7906586242364115,5.323991292089791,0.7835283087653027,7.0655225049287855,0.30709980893911704,0.28471260807485965,0.6331110938496449,2.124209466178688,2.9850312505525176,-5.278676892910891,-5.382259599130176,-1.7444717779907455,-2.229426746080296,0.6583185275245746,0.6351910284153908,1.6665885287489477,9.210343411941608,7.077830894487637,3.401789009939642,3.2402267296733784,2.226739615818568,-5.175511473733071,-5.276508148129531,-0.1870063202584622,-5.443912963616682,1.097252743002663,-3.5887260212411167,6.160951373691284,-5.244286017195198,1.8993920504221977,2.8030230804509157,2.6585114756239356,0.7605293857940918,-5.388003832916276,-0.39686237283369596,7.065706527949396,1.0286649952378921,-5.366528335909967,-1.318266965821587,-1.1079237843056524,-1.6792312131027962,0.1870063202584622,0.8002610165308486,2.5717200419073754,0.5989868718369973,-5.443912963616682,-5.443912963616682,-0.5103960048773892,3.0842359257644683,-4.016083703753157,-5.178677177879239,3.074478722948176,-0.644088346916353,-5.443912963616682,2.640105976849667,-3.086307661987556,-0.5478872666644623,-3.733812384474547,-5.224863480301561,-4.981846239129041,-4.2243684973965685,-0.8670505288424342,2.3459871189275088,-5.443912963616682,-3.864290594845519,-3.785825917194204
TCGA-35-4123-01A,4.112363918154868,1.8950081175002458,5.805098676033905,-0.40439512825247226,7.196140920421605,1.631237856970654,0.870189658153905,1.8905097476080392,2.266743467371554,3.5189883416141168,-4.642523430494556,0.10682607199925931,-0.2645617022068265,-0.9421693508022497,-4.628785477547245,3.6930556398410017,0.589695632043155,10.30926728359877,8.59375344530763,3.5991949581174127,1.5232402417028572,3.241520702417433,-4.717718807292789,-4.757658495240836,-0.9779864541830787,-4.8201791818808015,0.4801740585031533,-4.383598162961382,7.169114655777399,-4.8201791818808015,3.3678871687939775,2.962824092112349,2.240865191504679,0.8678688839250297,-4.759895378626798,-0.7648809569571804,7.318280606171504,0.7231978198071318,-4.8201791818808015,-0.27998491744014276,-1.6288361298451208,-3.3866222835010795,-0.08738383102884972,1.211249966490172,0.7022081514802427,0.49821615345089176,-4.8201791818808015,-4.8201791818808015,-1.3471265301494477,0.6093488147814674,-3.2439292346291353,-4.8201791818808015,3.6513042032106267,0.08738383102884972,-4.1083928854638625,4.15326207574556,-3.197769004872197,1.0435862491772796,-4.244220120024245,-4.8201791818808015,-4.716004929738764,-4.8201791818808015,-3.3515341796835463,3.4770362482043717,-4.8201791818808015,-2.4153758995289705,-4.606716793187912
TCGA-75-6206-01A,7.48380832009205,-0.12403677192351248,5.209034200420413,3.2511928313632152,6.083626052083859,-1.2322916307968823,0.07676259209629688,0.6143301667759502,0.026068426534528122,2.2399142664510094,-5.523874185201918,-5.411793102014261,-1.5904860613003695,1.1017551369528071,1.2691130505480013,0.5112048191612573,2.442857184340684,7.640584838985343,6.203547579186817,1.8794022354289748,0.9713446811421225,2.2709730128400443,-4.818507772214103,-5.523874185201918,-0.026068426534528122,-5.523874185201918,0.607845891162353,-2.909512683554156,4.803922483720062,-4.557867195813451,2.104607488032575,3.136082434251005,2.2329216667468126,1.1392147246833595,-5.523874185201918,-1.452020726095995,6.768934457570045,0.21413210652544334,-5.523874185201918,0.5184327363847885,0.4526572494765464,-0.04328080140590629,0.5372926105252871,0.6091999484717538,-0.9114585194847331,-0.48394778844361364,-5.523874185201918,-5.523874185201918,-0.17380866077358714,1.6586198423228433,-5.523874185201918,-5.395102280937876,3.0410540174431544,-1.508113330394897,-5.523874185201918,1.706926269295673,-3.9837437003199496,-0.7232354020447556,-3.9532042907784355,-5.228103932265068,-5.202559082367681,-5.332514365482435,-0.38493974853044755,2.9509879041833393,-5.432976822722031,-3.664447342989813,1.1889536770223215
