Pathway Name,Genes in common with TCGA_BRCA_TPM_Regression,# of Genes in common with TCGA_BRCA_TPM_Regression,Genes in common with TCGA_THCA_TPM_Regression,# of Genes in common with TCGA_THCA_TPM_Regression,Genes in common with TCGA_COAD_TPM_Regression,# of Genes in common with TCGA_COAD_TPM_Regression,Genes in common with TCGA_KIRC_TPM_Regression,# of Genes in common with TCGA_KIRC_TPM_Regression,Genes in common with TCGA_PRAD_TPM_Regression,# of Genes in common with TCGA_PRAD_TPM_Regression,Genes in common with TCGA_LUAD_TPM_Regression,# of Genes in common with TCGA_LUAD_TPM_Regression
hsa00010,"['PFKP' 'PKM' 'ALDH3A2' 'ENO1' 'PGM1' 'DLD' 'PCK2' 'PGK1' 'GPI' 'GAPDHS'
 'GCK' 'MINPP1' 'ENO3' 'ALDH3A1' 'ALDOC' 'ALDH2' 'GAPDH' 'TPI1' 'ENO2'
 'LDHB' 'AKR1A1' 'PCK1' 'FBP2' 'ACSS2' 'G6PC1' 'PDHA1' 'ALDH3B2' 'LDHA'
 'ALDOB' 'ALDH1B1' 'G6PC3' 'PFKL' 'ALDH9A1' 'PKLR' 'GALM' 'ALDOA' 'DLAT'
 'G6PC2' 'PFKM' 'ACSS1' 'HKDC1' 'HK1' 'ADPGK' 'HK2' 'HK3' 'PDHA2' 'PGAM2'
 'ALDH7A1' 'FBP1' 'LDHC' 'LDHAL6A' 'PDHB' 'PGM2' 'PGK2' 'PGAM1' 'LDHAL6B'
 'BPGM' 'ADH6' 'ADH1A' 'ENO4' 'ADH7' 'ADH1B' 'ADH5' 'ADH4' 'PGAM4']",65,"['PFKP' 'PKM' 'ALDH3A2' 'ENO1' 'PGM1' 'DLD' 'PCK2' 'PGK1' 'GPI' 'GAPDHS'
 'GCK' 'MINPP1' 'ENO3' 'ALDH3A1' 'ALDOC' 'ALDH2' 'GAPDH' 'TPI1' 'ENO2'
 'LDHB' 'AKR1A1' 'PCK1' 'FBP2' 'ACSS2' 'G6PC1' 'PDHA1' 'ALDH3B2' 'LDHA'
 'ALDOB' 'ALDH1B1' 'G6PC3' 'PFKL' 'ALDH9A1' 'PKLR' 'GALM' 'ALDOA' 'DLAT'
 'G6PC2' 'PFKM' 'ACSS1' 'HKDC1' 'HK1' 'ADPGK' 'HK2' 'HK3' 'PDHA2' 'PGAM2'
 'ALDH7A1' 'FBP1' 'LDHC' 'LDHAL6A' 'PDHB' 'PGM2' 'PGK2' 'PGAM1' 'LDHAL6B'
 'BPGM' 'ADH6' 'ADH1A' 'ENO4' 'ADH7' 'ADH1B' 'ADH5' 'ADH4' 'PGAM4']",65,"['PFKP' 'PKM' 'ALDH3A2' 'ENO1' 'PGM1' 'DLD' 'PCK2' 'PGK1' 'GPI' 'GAPDHS'
 'GCK' 'MINPP1' 'ENO3' 'ALDH3A1' 'ALDOC' 'ALDH2' 'GAPDH' 'TPI1' 'ENO2'
 'LDHB' 'AKR1A1' 'PCK1' 'FBP2' 'ACSS2' 'G6PC1' 'PDHA1' 'ALDH3B2' 'LDHA'
 'ALDOB' 'ALDH1B1' 'G6PC3' 'PFKL' 'ALDH9A1' 'PKLR' 'GALM' 'ALDOA' 'DLAT'
 'G6PC2' 'PFKM' 'ACSS1' 'HKDC1' 'HK1' 'ADPGK' 'HK2' 'HK3' 'PDHA2' 'PGAM2'
 'ALDH7A1' 'FBP1' 'LDHC' 'LDHAL6A' 'PDHB' 'PGM2' 'PGK2' 'PGAM1' 'LDHAL6B'
 'BPGM' 'ADH6' 'ADH1A' 'ENO4' 'ADH7' 'ADH1B' 'ADH5' 'ADH4' 'PGAM4']",65,"['PFKP' 'PKM' 'ALDH3A2' 'ENO1' 'PGM1' 'DLD' 'PCK2' 'PGK1' 'GPI' 'GAPDHS'
 'GCK' 'MINPP1' 'ENO3' 'ALDH3A1' 'ALDOC' 'ALDH2' 'GAPDH' 'TPI1' 'ENO2'
 'LDHB' 'AKR1A1' 'PCK1' 'FBP2' 'ACSS2' 'G6PC1' 'PDHA1' 'ALDH3B2' 'LDHA'
 'ALDOB' 'ALDH1B1' 'G6PC3' 'PFKL' 'ALDH9A1' 'PKLR' 'GALM' 'ALDOA' 'DLAT'
 'G6PC2' 'PFKM' 'ACSS1' 'HKDC1' 'HK1' 'ADPGK' 'HK2' 'HK3' 'PDHA2' 'PGAM2'
 'ALDH7A1' 'FBP1' 'LDHC' 'LDHAL6A' 'PDHB' 'PGM2' 'PGK2' 'PGAM1' 'LDHAL6B'
 'BPGM' 'ADH6' 'ADH1A' 'ENO4' 'ADH7' 'ADH1B' 'ADH5' 'ADH4' 'PGAM4']",65,"['PFKP' 'PKM' 'ALDH3A2' 'ENO1' 'PGM1' 'DLD' 'PCK2' 'PGK1' 'GPI' 'GAPDHS'
 'GCK' 'MINPP1' 'ENO3' 'ALDH3A1' 'ALDOC' 'ALDH2' 'GAPDH' 'TPI1' 'ENO2'
 'LDHB' 'AKR1A1' 'PCK1' 'FBP2' 'ACSS2' 'G6PC1' 'PDHA1' 'ALDH3B2' 'LDHA'
 'ALDOB' 'ALDH1B1' 'G6PC3' 'PFKL' 'ALDH9A1' 'PKLR' 'GALM' 'ALDOA' 'DLAT'
 'G6PC2' 'PFKM' 'ACSS1' 'HKDC1' 'HK1' 'ADPGK' 'HK2' 'HK3' 'PDHA2' 'PGAM2'
 'ALDH7A1' 'FBP1' 'LDHC' 'LDHAL6A' 'PDHB' 'PGM2' 'PGK2' 'PGAM1' 'LDHAL6B'
 'BPGM' 'ADH6' 'ADH1A' 'ENO4' 'ADH7' 'ADH1B' 'ADH5' 'ADH4' 'PGAM4']",65,"['PFKP' 'PKM' 'ALDH3A2' 'ENO1' 'PGM1' 'DLD' 'PCK2' 'PGK1' 'GPI' 'GAPDHS'
 'GCK' 'MINPP1' 'ENO3' 'ALDH3A1' 'ALDOC' 'ALDH2' 'GAPDH' 'TPI1' 'ENO2'
 'LDHB' 'AKR1A1' 'PCK1' 'FBP2' 'ACSS2' 'G6PC1' 'PDHA1' 'ALDH3B2' 'LDHA'
 'ALDOB' 'ALDH1B1' 'G6PC3' 'PFKL' 'ALDH9A1' 'PKLR' 'GALM' 'ALDOA' 'DLAT'
 'G6PC2' 'PFKM' 'ACSS1' 'HKDC1' 'HK1' 'ADPGK' 'HK2' 'HK3' 'PDHA2' 'PGAM2'
 'ALDH7A1' 'FBP1' 'LDHC' 'LDHAL6A' 'PDHB' 'PGM2' 'PGK2' 'PGAM1' 'LDHAL6B'
 'BPGM' 'ADH6' 'ADH1A' 'ENO4' 'ADH7' 'ADH1B' 'ADH5' 'ADH4' 'PGAM4']",65
hsa00020,"['CS' 'IDH3G' 'SDHA' 'DLD' 'FH' 'ACO2' 'PCK2' 'IDH3B' 'OGDH' 'SDHB' 'DLST'
 'ACO1' 'PCK1' 'ACLY' 'PDHA1' 'SUCLA2' 'IDH1' 'SDHC' 'MDH2' 'DLAT' 'PDHA2'
 'SUCLG1' 'IDH3A' 'PDHB' 'SUCLG2' 'PC' 'IDH2' 'OGDHL']",28,"['CS' 'IDH3G' 'SDHA' 'DLD' 'FH' 'ACO2' 'PCK2' 'IDH3B' 'OGDH' 'SDHB' 'DLST'
 'ACO1' 'PCK1' 'ACLY' 'PDHA1' 'SUCLA2' 'IDH1' 'SDHC' 'MDH2' 'DLAT' 'PDHA2'
 'SUCLG1' 'IDH3A' 'PDHB' 'SUCLG2' 'PC' 'IDH2' 'OGDHL']",28,"['CS' 'IDH3G' 'SDHA' 'DLD' 'FH' 'ACO2' 'PCK2' 'IDH3B' 'OGDH' 'SDHB' 'DLST'
 'ACO1' 'PCK1' 'ACLY' 'PDHA1' 'SUCLA2' 'IDH1' 'SDHC' 'MDH2' 'DLAT' 'PDHA2'
 'SUCLG1' 'IDH3A' 'PDHB' 'SUCLG2' 'PC' 'IDH2' 'OGDHL']",28,"['CS' 'IDH3G' 'SDHA' 'DLD' 'FH' 'ACO2' 'PCK2' 'IDH3B' 'OGDH' 'SDHB' 'DLST'
 'ACO1' 'PCK1' 'ACLY' 'PDHA1' 'SUCLA2' 'IDH1' 'SDHC' 'MDH2' 'DLAT' 'PDHA2'
 'SUCLG1' 'IDH3A' 'PDHB' 'SUCLG2' 'PC' 'IDH2' 'OGDHL']",28,"['CS' 'IDH3G' 'SDHA' 'DLD' 'FH' 'ACO2' 'PCK2' 'IDH3B' 'OGDH' 'SDHB' 'DLST'
 'ACO1' 'PCK1' 'ACLY' 'PDHA1' 'SUCLA2' 'IDH1' 'SDHC' 'MDH2' 'DLAT' 'PDHA2'
 'SUCLG1' 'IDH3A' 'PDHB' 'SUCLG2' 'PC' 'IDH2' 'OGDHL']",28,"['CS' 'IDH3G' 'SDHA' 'DLD' 'FH' 'ACO2' 'PCK2' 'IDH3B' 'OGDH' 'SDHB' 'DLST'
 'ACO1' 'PCK1' 'ACLY' 'PDHA1' 'SUCLA2' 'IDH1' 'SDHC' 'MDH2' 'DLAT' 'PDHA2'
 'SUCLG1' 'IDH3A' 'PDHB' 'SUCLG2' 'PC' 'IDH2' 'OGDHL']",28
hsa00030,"['DERA' 'H6PD' 'PFKP' 'PGM1' 'PRPS2' 'GPI' 'ALDOC' 'PGLS' 'FBP2' 'RGN'
 'ALDOB' 'PFKL' 'PGD' 'PRPS1' 'IDNK' 'ALDOA' 'TKTL2' 'PFKM' 'RPIA' 'G6PD'
 'TKT' 'FBP1' 'GLYCTK' 'PGM2' 'RBKS' 'TALDO1' 'RPE' 'PRPS1L1']",28,"['DERA' 'H6PD' 'PFKP' 'PGM1' 'PRPS2' 'GPI' 'ALDOC' 'PGLS' 'FBP2' 'RGN'
 'ALDOB' 'PFKL' 'PGD' 'PRPS1' 'IDNK' 'ALDOA' 'TKTL2' 'PFKM' 'RPIA' 'G6PD'
 'TKT' 'FBP1' 'GLYCTK' 'PGM2' 'RBKS' 'TALDO1' 'RPE' 'PRPS1L1']",28,"['DERA' 'H6PD' 'PFKP' 'PGM1' 'PRPS2' 'GPI' 'ALDOC' 'PGLS' 'FBP2' 'RGN'
 'ALDOB' 'PFKL' 'PGD' 'PRPS1' 'IDNK' 'ALDOA' 'TKTL2' 'PFKM' 'RPIA' 'G6PD'
 'TKT' 'FBP1' 'GLYCTK' 'PGM2' 'RBKS' 'TALDO1' 'RPE' 'PRPS1L1']",28,"['DERA' 'H6PD' 'PFKP' 'PGM1' 'PRPS2' 'GPI' 'ALDOC' 'PGLS' 'FBP2' 'RGN'
 'ALDOB' 'PFKL' 'PGD' 'PRPS1' 'IDNK' 'ALDOA' 'TKTL2' 'PFKM' 'RPIA' 'G6PD'
 'TKT' 'FBP1' 'GLYCTK' 'PGM2' 'RBKS' 'TALDO1' 'RPE' 'PRPS1L1']",28,"['DERA' 'H6PD' 'PFKP' 'PGM1' 'PRPS2' 'GPI' 'ALDOC' 'PGLS' 'FBP2' 'RGN'
 'ALDOB' 'PFKL' 'PGD' 'PRPS1' 'IDNK' 'ALDOA' 'TKTL2' 'PFKM' 'RPIA' 'G6PD'
 'TKT' 'FBP1' 'GLYCTK' 'PGM2' 'RBKS' 'TALDO1' 'RPE' 'PRPS1L1']",28,"['DERA' 'H6PD' 'PFKP' 'PGM1' 'PRPS2' 'GPI' 'ALDOC' 'PGLS' 'FBP2' 'RGN'
 'ALDOB' 'PFKL' 'PGD' 'PRPS1' 'IDNK' 'ALDOA' 'TKTL2' 'PFKM' 'RPIA' 'G6PD'
 'TKT' 'FBP1' 'GLYCTK' 'PGM2' 'RBKS' 'TALDO1' 'RPE' 'PRPS1L1']",28
hsa00040,"['XYLB' 'DHDH' 'UGT2B10' 'UGDH' 'AKR1A1' 'KL' 'UGT2A3' 'UGT2B28' 'SORD'
 'UGT2B4' 'CRYL1' 'UGT1A6' 'DCXR' 'UGP2' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'RPE' 'UGT2B17' 'AKR1B10' 'UGT2B11' 'CRPPA' 'RPEL1' 'UGT1A9'
 'UGT1A1' 'UGT1A8' 'UGT1A10' 'UGT1A7' 'UGT1A4']",30,"['XYLB' 'DHDH' 'UGT2B10' 'UGDH' 'AKR1A1' 'KL' 'UGT2A3' 'UGT2B28' 'SORD'
 'UGT2B4' 'CRYL1' 'UGT1A6' 'DCXR' 'UGP2' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'RPE' 'UGT2B17' 'AKR1B10' 'UGT2B11' 'CRPPA' 'RPEL1' 'UGT1A9'
 'UGT1A1' 'UGT1A8' 'UGT1A10' 'UGT1A7' 'UGT1A4']",30,"['XYLB' 'DHDH' 'UGT2B10' 'UGDH' 'AKR1A1' 'KL' 'UGT2A3' 'UGT2B28' 'SORD'
 'UGT2B4' 'CRYL1' 'UGT1A6' 'DCXR' 'UGP2' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'RPE' 'UGT2B17' 'AKR1B10' 'UGT2B11' 'CRPPA' 'RPEL1' 'UGT1A9'
 'UGT1A1' 'UGT1A8' 'UGT1A10' 'UGT1A7' 'UGT1A4']",30,"['XYLB' 'DHDH' 'UGT2B10' 'UGDH' 'AKR1A1' 'KL' 'UGT2A3' 'UGT2B28' 'SORD'
 'UGT2B4' 'CRYL1' 'UGT1A6' 'DCXR' 'UGP2' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'RPE' 'UGT2B17' 'AKR1B10' 'UGT2B11' 'CRPPA' 'RPEL1' 'UGT1A9'
 'UGT1A1' 'UGT1A8' 'UGT1A10' 'UGT1A7' 'UGT1A4']",30,"['XYLB' 'DHDH' 'UGT2B10' 'UGDH' 'AKR1A1' 'KL' 'UGT2A3' 'UGT2B28' 'SORD'
 'UGT2B4' 'CRYL1' 'UGT1A6' 'DCXR' 'UGP2' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'RPE' 'UGT2B17' 'AKR1B10' 'UGT2B11' 'CRPPA' 'RPEL1' 'UGT1A9'
 'UGT1A1' 'UGT1A8' 'UGT1A10' 'UGT1A7' 'UGT1A4']",30,"['XYLB' 'DHDH' 'UGT2B10' 'UGDH' 'AKR1A1' 'KL' 'UGT2A3' 'UGT2B28' 'SORD'
 'UGT2B4' 'CRYL1' 'UGT1A6' 'DCXR' 'UGP2' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'RPE' 'UGT2B17' 'AKR1B10' 'UGT2B11' 'CRPPA' 'RPEL1' 'UGT1A9'
 'UGT1A1' 'UGT1A8' 'UGT1A10' 'UGT1A7' 'UGT1A4']",30
hsa00051,"['TIGAR' 'AKR1B1' 'PMM1' 'GFUS' 'ALDOC' 'TPI1' 'GMDS' 'PFKFB4' 'PFKFB2'
 'FBP2' 'ENOSF1' 'ALDOB' 'KHK' 'SORD' 'PMM2' 'PFKL' 'GMPPA' 'TKFC' 'ALDOA'
 'PFKM' 'HKDC1' 'HK1' 'FCSK' 'PFKFB1' 'HK2' 'HK3' 'FBP1' 'PFKFB3' 'GMPPB'
 'MPI' 'AKR1B10']",31,"['TIGAR' 'AKR1B1' 'PMM1' 'GFUS' 'ALDOC' 'TPI1' 'GMDS' 'PFKFB4' 'PFKFB2'
 'FBP2' 'ENOSF1' 'ALDOB' 'KHK' 'SORD' 'PMM2' 'PFKL' 'GMPPA' 'TKFC' 'ALDOA'
 'PFKM' 'HKDC1' 'HK1' 'FCSK' 'PFKFB1' 'HK2' 'HK3' 'FBP1' 'PFKFB3' 'GMPPB'
 'MPI' 'AKR1B10']",31,"['TIGAR' 'AKR1B1' 'PMM1' 'GFUS' 'ALDOC' 'TPI1' 'GMDS' 'PFKFB4' 'PFKFB2'
 'FBP2' 'ENOSF1' 'ALDOB' 'KHK' 'SORD' 'PMM2' 'PFKL' 'GMPPA' 'TKFC' 'ALDOA'
 'PFKM' 'HKDC1' 'HK1' 'FCSK' 'PFKFB1' 'HK2' 'HK3' 'FBP1' 'PFKFB3' 'GMPPB'
 'MPI' 'AKR1B10']",31,"['TIGAR' 'AKR1B1' 'PMM1' 'GFUS' 'ALDOC' 'TPI1' 'GMDS' 'PFKFB4' 'PFKFB2'
 'FBP2' 'ENOSF1' 'ALDOB' 'KHK' 'SORD' 'PMM2' 'PFKL' 'GMPPA' 'TKFC' 'ALDOA'
 'PFKM' 'HKDC1' 'HK1' 'FCSK' 'PFKFB1' 'HK2' 'HK3' 'FBP1' 'PFKFB3' 'GMPPB'
 'MPI' 'AKR1B10']",31,"['TIGAR' 'AKR1B1' 'PMM1' 'GFUS' 'ALDOC' 'TPI1' 'GMDS' 'PFKFB4' 'PFKFB2'
 'FBP2' 'ENOSF1' 'ALDOB' 'KHK' 'SORD' 'PMM2' 'PFKL' 'GMPPA' 'TKFC' 'ALDOA'
 'PFKM' 'HKDC1' 'HK1' 'FCSK' 'PFKFB1' 'HK2' 'HK3' 'FBP1' 'PFKFB3' 'GMPPB'
 'MPI' 'AKR1B10']",31,"['TIGAR' 'AKR1B1' 'PMM1' 'GFUS' 'ALDOC' 'TPI1' 'GMDS' 'PFKFB4' 'PFKFB2'
 'FBP2' 'ENOSF1' 'ALDOB' 'KHK' 'SORD' 'PMM2' 'PFKL' 'GMPPA' 'TKFC' 'ALDOA'
 'PFKM' 'HKDC1' 'HK1' 'FCSK' 'PFKFB1' 'HK2' 'HK3' 'FBP1' 'PFKFB3' 'GMPPB'
 'MPI' 'AKR1B10']",31
hsa00052,"['PGM1' 'AKR1B1' 'B4GALT1' 'SI' 'GLA' 'GCK' 'GALK1' 'LCT' 'GALE' 'B4GALT2'
 'G6PC1' 'G6PC3' 'PFKL' 'GALM' 'G6PC2' 'PFKM' 'HKDC1' 'HK1' 'HK2' 'HK3'
 'LALBA' 'PGM2' 'UGP2' 'GLB1' 'GAA' 'AKR1B10' 'GALT' 'GANC' 'MGAM']",29,"['PGM1' 'AKR1B1' 'B4GALT1' 'SI' 'GLA' 'GCK' 'GALK1' 'LCT' 'GALE' 'B4GALT2'
 'G6PC1' 'G6PC3' 'PFKL' 'GALM' 'G6PC2' 'PFKM' 'HKDC1' 'HK1' 'HK2' 'HK3'
 'LALBA' 'PGM2' 'UGP2' 'GLB1' 'GAA' 'AKR1B10' 'GALT' 'GANC' 'MGAM']",29,"['PGM1' 'AKR1B1' 'B4GALT1' 'SI' 'GLA' 'GCK' 'GALK1' 'LCT' 'GALE' 'B4GALT2'
 'G6PC1' 'G6PC3' 'PFKL' 'GALM' 'G6PC2' 'PFKM' 'HKDC1' 'HK1' 'HK2' 'HK3'
 'LALBA' 'PGM2' 'UGP2' 'GLB1' 'GAA' 'AKR1B10' 'GALT' 'GANC' 'MGAM']",29,"['PGM1' 'AKR1B1' 'B4GALT1' 'SI' 'GLA' 'GCK' 'GALK1' 'LCT' 'GALE' 'B4GALT2'
 'G6PC1' 'G6PC3' 'PFKL' 'GALM' 'G6PC2' 'PFKM' 'HKDC1' 'HK1' 'HK2' 'HK3'
 'LALBA' 'PGM2' 'UGP2' 'GLB1' 'GAA' 'AKR1B10' 'GALT' 'GANC' 'MGAM']",29,"['PGM1' 'AKR1B1' 'B4GALT1' 'SI' 'GLA' 'GCK' 'GALK1' 'LCT' 'GALE' 'B4GALT2'
 'G6PC1' 'G6PC3' 'PFKL' 'GALM' 'G6PC2' 'PFKM' 'HKDC1' 'HK1' 'HK2' 'HK3'
 'LALBA' 'PGM2' 'UGP2' 'GLB1' 'GAA' 'AKR1B10' 'GALT' 'GANC' 'MGAM']",29,"['PGM1' 'AKR1B1' 'B4GALT1' 'SI' 'GLA' 'GCK' 'GALK1' 'LCT' 'GALE' 'B4GALT2'
 'G6PC1' 'G6PC3' 'PFKL' 'GALM' 'G6PC2' 'PFKM' 'HKDC1' 'HK1' 'HK2' 'HK3'
 'LALBA' 'PGM2' 'UGP2' 'GLB1' 'GAA' 'AKR1B10' 'GALT' 'GANC' 'MGAM']",29
hsa00053,"['MIOX' 'UGT2B10' 'UGDH' 'ALDH2' 'AKR1A1' 'RGN' 'KL' 'UGT2A3' 'UGT2B28'
 'ALDH1B1' 'ALDH9A1' 'UGT2B4' 'ALDH7A1' 'UGT1A6' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'UGT2B17' 'UGT2B11' 'UGT1A9' 'UGT1A1' 'UGT1A8' 'UGT1A10'
 'UGT1A7' 'UGT1A4']",26,"['MIOX' 'UGT2B10' 'UGDH' 'ALDH2' 'AKR1A1' 'RGN' 'KL' 'UGT2A3' 'UGT2B28'
 'ALDH1B1' 'ALDH9A1' 'UGT2B4' 'ALDH7A1' 'UGT1A6' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'UGT2B17' 'UGT2B11' 'UGT1A9' 'UGT1A1' 'UGT1A8' 'UGT1A10'
 'UGT1A7' 'UGT1A4']",26,"['MIOX' 'UGT2B10' 'UGDH' 'ALDH2' 'AKR1A1' 'RGN' 'KL' 'UGT2A3' 'UGT2B28'
 'ALDH1B1' 'ALDH9A1' 'UGT2B4' 'ALDH7A1' 'UGT1A6' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'UGT2B17' 'UGT2B11' 'UGT1A9' 'UGT1A1' 'UGT1A8' 'UGT1A10'
 'UGT1A7' 'UGT1A4']",26,"['MIOX' 'UGT2B10' 'UGDH' 'ALDH2' 'AKR1A1' 'RGN' 'KL' 'UGT2A3' 'UGT2B28'
 'ALDH1B1' 'ALDH9A1' 'UGT2B4' 'ALDH7A1' 'UGT1A6' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'UGT2B17' 'UGT2B11' 'UGT1A9' 'UGT1A1' 'UGT1A8' 'UGT1A10'
 'UGT1A7' 'UGT1A4']",26,"['MIOX' 'UGT2B10' 'UGDH' 'ALDH2' 'AKR1A1' 'RGN' 'KL' 'UGT2A3' 'UGT2B28'
 'ALDH1B1' 'ALDH9A1' 'UGT2B4' 'ALDH7A1' 'UGT1A6' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'UGT2B17' 'UGT2B11' 'UGT1A9' 'UGT1A1' 'UGT1A8' 'UGT1A10'
 'UGT1A7' 'UGT1A4']",26,"['MIOX' 'UGT2B10' 'UGDH' 'ALDH2' 'AKR1A1' 'RGN' 'KL' 'UGT2A3' 'UGT2B28'
 'ALDH1B1' 'ALDH9A1' 'UGT2B4' 'ALDH7A1' 'UGT1A6' 'GUSB' 'UGT2B7' 'UGT2A1'
 'UGT2B15' 'UGT2B17' 'UGT2B11' 'UGT1A9' 'UGT1A1' 'UGT1A8' 'UGT1A10'
 'UGT1A7' 'UGT1A4']",26
hsa00061,"['ACACB' 'MCAT' 'ACSBG1' 'MECR' 'ACSL3' 'ACSBG2' 'CBR4' 'OXSM' 'ACSL1'
 'OLAH' 'ACSL6' 'FASN' 'ACSF3' 'ACSL5' 'HSD17B8' 'HTD2']",16,"['ACACB' 'MCAT' 'ACSBG1' 'MECR' 'ACSL3' 'ACSBG2' 'CBR4' 'OXSM' 'ACSL1'
 'OLAH' 'ACSL6' 'FASN' 'ACSF3' 'ACSL5' 'HSD17B8' 'HTD2']",16,"['ACACB' 'MCAT' 'ACSBG1' 'MECR' 'ACSL3' 'ACSBG2' 'CBR4' 'OXSM' 'ACSL1'
 'OLAH' 'ACSL6' 'FASN' 'ACSF3' 'ACSL5' 'HSD17B8' 'HTD2']",16,"['ACACB' 'MCAT' 'ACSBG1' 'MECR' 'ACSL3' 'ACSBG2' 'CBR4' 'OXSM' 'ACSL1'
 'OLAH' 'ACSL6' 'FASN' 'ACSF3' 'ACSL5' 'HSD17B8' 'HTD2']",16,"['ACACB' 'MCAT' 'ACSBG1' 'MECR' 'ACSL3' 'ACSBG2' 'CBR4' 'OXSM' 'ACSL1'
 'OLAH' 'ACSL6' 'FASN' 'ACSF3' 'ACSL5' 'HSD17B8' 'HTD2']",16,"['ACACB' 'MCAT' 'ACSBG1' 'MECR' 'ACSL3' 'ACSBG2' 'CBR4' 'OXSM' 'ACSL1'
 'OLAH' 'ACSL6' 'FASN' 'ACSF3' 'ACSL5' 'HSD17B8' 'HTD2']",16
hsa00062,"['ELOVL1' 'HACD3' 'HADHA' 'ACOT7' 'TECR' 'MECR' 'ELOVL4' 'ACOT2' 'ELOVL3'
 'ECHS1' 'PPT1' 'HADHB' 'HADH' 'HSD17B12' 'THEM4' 'ELOVL7' 'HACD1' 'ACAA2'
 'ELOVL6' 'ACOT4' 'ACOT1' 'HACD4' 'THEM5' 'ELOVL2' 'HACD2']",25,"['ELOVL1' 'HACD3' 'HADHA' 'ACOT7' 'TECR' 'MECR' 'ELOVL4' 'ACOT2' 'ELOVL3'
 'ECHS1' 'PPT1' 'HADHB' 'HADH' 'HSD17B12' 'THEM4' 'ELOVL7' 'HACD1' 'ACAA2'
 'ELOVL6' 'ACOT4' 'ACOT1' 'HACD4' 'THEM5' 'ELOVL2' 'HACD2']",25,"['ELOVL1' 'HACD3' 'HADHA' 'ACOT7' 'TECR' 'MECR' 'ELOVL4' 'ACOT2' 'ELOVL3'
 'ECHS1' 'PPT1' 'HADHB' 'HADH' 'HSD17B12' 'THEM4' 'ELOVL7' 'HACD1' 'ACAA2'
 'ELOVL6' 'ACOT4' 'ACOT1' 'HACD4' 'THEM5' 'ELOVL2' 'HACD2']",25,"['ELOVL1' 'HACD3' 'HADHA' 'ACOT7' 'TECR' 'MECR' 'ELOVL4' 'ACOT2' 'ELOVL3'
 'ECHS1' 'PPT1' 'HADHB' 'HADH' 'HSD17B12' 'THEM4' 'ELOVL7' 'HACD1' 'ACAA2'
 'ELOVL6' 'ACOT4' 'ACOT1' 'HACD4' 'THEM5' 'ELOVL2' 'HACD2']",25,"['ELOVL1' 'HACD3' 'HADHA' 'ACOT7' 'TECR' 'MECR' 'ELOVL4' 'ACOT2' 'ELOVL3'
 'ECHS1' 'PPT1' 'HADHB' 'HADH' 'HSD17B12' 'THEM4' 'ELOVL7' 'HACD1' 'ACAA2'
 'ELOVL6' 'ACOT4' 'ACOT1' 'HACD4' 'THEM5' 'ELOVL2' 'HACD2']",25,"['ELOVL1' 'HACD3' 'HADHA' 'ACOT7' 'TECR' 'MECR' 'ELOVL4' 'ACOT2' 'ELOVL3'
 'ECHS1' 'PPT1' 'HADHB' 'HADH' 'HSD17B12' 'THEM4' 'ELOVL7' 'HACD1' 'ACAA2'
 'ELOVL6' 'ACOT4' 'ACOT1' 'HACD4' 'THEM5' 'ELOVL2' 'HACD2']",25
